 "n" , "FFVenuesPerPerson" , "sR" , "IbdScore" ,
 "Iceland" , "68.020347522139158565500000" , "14.0" , "22.0e0" ,
 "France" , "12.226189035459276291900000" , "12.3" , "10.1e0" ,
 "Finland" , "27.416187222699517230800000" , "14.8" , "23.7e0" ,
 "Greece" , "11.264912073450463245900000" , "3.8" , "3.6e0" ,
 "Norway" , "12.771885751995084119100000" , "9.1" , "20.95e0" ,
 "Hungary" , "16.853541139414517112200000" , "19.1" , "20.8e0" ,
 "Belgium" , "17.470700463341509948200000" , "14.2" , "8.1e0" ,
 "Croatia" , "12.326871678843302249400000" , "11.6" , "11.1e0" ,
 "Italy" , "6.718273558998740822400000" , "4.7" , "11.425e0" ,
 "Estonia" , "10.073168511424465413200000" , "13.6" , "3.0999999999999996e0" ,
 "Spain" , "5.635415039074017160300000" , "5.1" , "14.399999999999999e0" ,
 "Denmark" , "89.105047806349821960600000" , "8.8" , "22.0e0" ,
 "Netherlands" , "21.594945907027072311600000" , "8.2" , "13.9e0" ,
 "Romania" , "3.175381383351904014400000" , "10.5" , "1.47e0" ,
 "Ireland" , "33.341794718914738749800000" , "11.0" , "20.700000000000003e0" ,
 "Portugal" , "4.591740918223303661500000" , "8.2" , "6.6e0" ,
 "Sweden" , "30.05463188411409187100000" , "11.1" , "25.8e0" ,
 "Germany" , "29.152832152237474602300000" , "9.2" , "10.5e0" ,
 "United Kingdom" , "20.742320170386218975300000" , "6.2" , "20.5e0" ,
